user_id,merchant_id,transaction_amount,status,transaction_date
USER_1000,MERCHANT_009,922.4,SUCCESS,2025-07-13
USER_0415,MERCHANT_044,939.8,PENDING,2025-06-30
USER_0961,MERCHANT_036,165.96,SUCCESS,2025-07-17
USER_0484,MERCHANT_033,296.11,SUCCESS,2025-07-09
USER_0283,MERCHANT_007,760.94,SUCCESS,2025-07-08
USER_0848,MERCHANT_018,902.02,SUCCESS,2025-06-28
USER_0658,MERCHANT_018,300.61,SUCCESS,2025-06-24
USER_0292,MERCHANT_012,464.64,PENDING,2025-07-01
USER_0991,MERCHANT_024,208.06,SUCCESS,2025-07-10
USER_0835,MERCHANT_002,892.21,SUCCESS,2025-07-05
USER_0445,MERCHANT_049,670.16,SUCCESS,2025-07-13
USER_0750,MERCHANT_023,238.78,SUCCESS,2025-07-14
USER_0305,MERCHANT_019,51.27,SUCCESS,2025-07-12
USER_0073,MERCHANT_027,126.48,SUCCESS,2025-07-10
USER_0760,MERCHANT_033,11.96,SUCCESS,2025-07-07
USER_0449,MERCHANT_017,609.3,SUCCESS,2025-07-11
USER_0359,MERCHANT_020,908.36,SUCCESS,2025-06-25
USER_0857,MERCHANT_001,170.53,SUCCESS,2025-07-03
USER_0138,MERCHANT_023,961.68,FAILED,2025-06-28
USER_0637,MERCHANT_016,99.93,SUCCESS,2025-06-26
USER_0220,MERCHANT_031,908.2,SUCCESS,2025-07-19
USER_0520,MERCHANT_015,370.0,FAILED,2025-07-02
USER_0939,MERCHANT_015,463.41,FAILED,2025-07-04
USER_0856,MERCHANT_038,730.08,SUCCESS,2025-06-30
USER_0455,MERCHANT_039,929.06,SUCCESS,2025-07-14
USER_0057,MERCHANT_015,531.35,SUCCESS,2025-07-04
USER_0400,MERCHANT_039,991.16,SUCCESS,2025-07-20
USER_0183,MERCHANT_046,199.32,SUCCESS,2025-07-13
USER_0549,MERCHANT_034,72.98,SUCCESS,2025-07-17
USER_0832,MERCHANT_012,429.29,SUCCESS,2025-07-06
USER_0963,MERCHANT_036,880.26,SUCCESS,2025-07-02
USER_0263,MERCHANT_010,401.57,SUCCESS,2025-07-18
USER_0705,MERCHANT_002,77.79,SUCCESS,2025-07-16
USER_0765,MERCHANT_021,846.71,SUCCESS,2025-06-24
USER_0945,MERCHANT_050,356.43,SUCCESS,2025-06-28
USER_0887,MERCHANT_041,393.8,SUCCESS,2025-07-19
USER_0363,MERCHANT_020,133.52,FAILED,2025-07-09
USER_0454,MERCHANT_025,985.38,SUCCESS,2025-06-24
USER_0871,MERCHANT_050,782.03,FAILED,2025-06-24
USER_0611,MERCHANT_016,984.42,SUCCESS,2025-07-16
USER_0799,MERCHANT_030,443.72,SUCCESS,2025-07-06
USER_0835,MERCHANT_025,78.65,SUCCESS,2025-06-28
USER_0036,MERCHANT_008,856.74,FAILED,2025-07-09
USER_0083,MERCHANT_010,394.71,SUCCESS,2025-07-03
USER_0626,MERCHANT_014,226.98,SUCCESS,2025-07-16
USER_0311,MERCHANT_018,571.61,SUCCESS,2025-06-22
USER_0829,MERCHANT_046,382.05,SUCCESS,2025-07-10
USER_0505,MERCHANT_001,525.21,SUCCESS,2025-07-03
USER_0101,MERCHANT_007,943.77,SUCCESS,2025-07-21
USER_0413,MERCHANT_017,908.74,SUCCESS,2025-06-23
USER_0883,MERCHANT_021,985.63,SUCCESS,2025-06-22
USER_0056,MERCHANT_037,474.7,SUCCESS,2025-07-18
USER_0231,MERCHANT_024,274.2,SUCCESS,2025-06-24
USER_0122,MERCHANT_001,247.76,SUCCESS,2025-07-17
USER_0944,MERCHANT_007,752.62,PENDING,2025-07-22
USER_0428,MERCHANT_017,933.71,SUCCESS,2025-07-18
USER_0407,MERCHANT_031,129.03,SUCCESS,2025-07-06
USER_0043,MERCHANT_031,801.44,SUCCESS,2025-07-08
USER_0578,MERCHANT_042,726.9,SUCCESS,2025-07-04
USER_0944,MERCHANT_047,668.92,SUCCESS,2025-06-29
USER_0504,MERCHANT_024,685.9,SUCCESS,2025-06-27
USER_0455,MERCHANT_014,21.58,SUCCESS,2025-07-07
USER_0355,MERCHANT_014,148.11,SUCCESS,2025-07-01
USER_0256,MERCHANT_003,901.79,SUCCESS,2025-06-26
USER_0015,MERCHANT_046,694.98,SUCCESS,2025-07-12
USER_0887,MERCHANT_011,182.84,SUCCESS,2025-07-02
USER_0098,MERCHANT_042,253.82,SUCCESS,2025-07-02
USER_0914,MERCHANT_044,862.5,SUCCESS,2025-07-07
